city,name,zoon_id,rating,reviews_count,price_category,tags,address,metro_station,work_hours_short,phone,lat,lon,photo_count,url,photos_urls
msk,Школьник,5a0b5433a24fd95ca1560c1c,2.9,3,1/4,кофейня,"улица Земляной Вал, 12/7 ст1, 1 этаж, Москва",Курская,Открыто до 22:00,+7 (985) 984-09-25,55.761731,37.656844,50,https://zoon.ru/msk/restaurants/kafe_shkolnik_na_ulitse_zemlyanoj_val/,"https://pr6.zoon.ru/LVJ-i_NsI_Xle6tWJPVpNA/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_H-FuAg30X8Vp3MMSIK_eBVeeE3GcH4N7bjwkqCgKVunhwu9FTKxM7s7RB28LEhNYn_fseK3hRCPMo_cg1AHZwvLsnCq47gL-k-CbpK5sBTbg, https://pr5.zoon.ru/RH0WvwO-efXgJg-TOf1bcA/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_EEKX8mf61fgp04xYTVaipa1Luj1e2iyqgeKqbRGnLJ2hP2eGPyMPl3niXZ1GbaxB-fXC8uNmESbdTAUGK57GU9junh7HYQXKrjTn2QT9q_vw, https://pr5.zoon.ru/mPyjIaZJI2XWnsSRS6cnqw/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_EpTexjJsaiL0m4ydxkD77hTwevDeLsTKbybx5qPv_jCKBvlVL_DYEQqsRsQO_ThsT4nKXkVcz98HOGi-qlhQfwnS3MxmApyEKPuArOvXI5hA, https://pr6.zoon.ru/ry93ZhEazVH26pAyaUsKug/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_H-FuAg30X8Vp3MMSIK_eBVNKu1FuA5kUxHG9iCoHWP3b3-EUP-eXBl21u6ly25XvSL54FRMKfNYntKYNnUOWHYnxzOYKt8UPON-vajdl1x8A, https://pr6.zoon.ru/UvnTgPQUdq8t15VZSfCNfg/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_HEmpg3VeZml--dIWvghvs3rZPAz8p1w1om-R9VivypvcFsIi54lS-A3awHHys25ePb38JP9knuVWVF642q6f0TOSXoqYcJgUMOf_kWoR_JQg"
msk,Coffeemolka,58f9bed9504e8d2c7b6a358f,4.2,5,1/4,кофейня,"улица Зеленодольская, 45 корпус 1, Москва",Кузьминки,Открыто до 20:00,+7 (909) 973-27-29,55.701928,37.765984,2,https://zoon.ru/msk/restaurants/kofejnya_coffeemolka_na_metro_kuzminki/,"https://p0.zoon.ru/preview/j36vmLmnzU1lMyy-YSOSHA/252x168x85/1/6/8/58f9bed9504e8d2c7b6a3591_58f9de0308bc2.jpg, https://p1.zoon.ru/preview/NgFAKGcYnKYiP_FCwSLHSg/252x168x85/1/c/e/58f9bed9504e8d2c7b6a3591_58f9de0fcde57.jpg"
msk,Шоколадница,4f85bd553c72dd8114001c66,3.0,2,1/4,кофейня,"Международный Аэропорт Шереметьево, терминал B, 3 этаж, Химки",,Круглосуточно,+7 (906) 048-47-34,55.980913,37.410896,51,https://zoon.ru/msk/restaurants/kofejnya_shokoladnitsa_v_aeroportu_sheremetevo_v_terminale_s/,"https://pr6.zoon.ru/yhQX_OLRTGECBRGsHQd_Jg/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_GLt1F86g1_0teOKK-5l8VWdMG_MHPaMZBbaEYuHmvnRJe7PLlK0dOO1CWJW-ln08yQomHrgTvQO-7xqH7g2vkiuRfDeZOSHRBQES3z2R55kg, https://pr6.zoon.ru/HJQBKCdm0M3dQbFYVxGgGA/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_HQxZF1t1XdVtsDLZpp0E44s4VQPeeTcZLcJrvQ6aSozQrCDjjChasMCHakCHwAX1zaYs8p25j7IvjCc9lCBNCMXYP3Hv4zohN8AhzUaJfeaA, https://pr6.zoon.ru/vmi8YCmDUnPDAyt97_8F3A/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_EMb7cyd43gYm0EkNDpBWPVD59OtBYFMP8Li8chyioPxGfXd-GoqC2m4uGMeLwTOJ8nDKL0MA0jHtum19fiHIcAmB8tiaZu-IWFUkCQFDXzbA, https://pr5.zoon.ru/zl3mYvHZCew7DRB9-i1z2A/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_Hl2ypIqZsfrZrY7gV5X0UvZ6j3wLM2F_8B6CJq4k8dgQCLgkBfElO_Go7B0K0WeMMGOmxwB8tN0C5l_kX5WZyO0c3Nx2R7WHG6FcuYzMh2MA, https://pr5.zoon.ru/IIxqrXJ-UYTwepahSLRfuA/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_FN6_CLY7o_BTdwTmi8aqmDyC3PA1qJtqyKgC-6vhN0zezp7RtXwFeKVNmpB7uaY32twIW6lTfiHL_QkDUeHMq17s3sHfZB9-Aryt6nNpElyw"
msk,Кофе Хауз,4f85bd513c72dd8114001238,3.7,2,1/4,"кондитерская, кофейня","Ильинка, 13/19, стр. 2, Москва",Китай-город,Круглосуточно,+7 (495) 221-83-81,55.755937,37.628088,55,https://zoon.ru/msk/restaurants/kafe_kofe_hauz_na_ulitse_ilinka/,"https://pr6.zoon.ru/wdKQAXyyiZhgS6bVBcifiQ/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_En6r0F5dBE3IbvMCu5vd8xsebRIbmhWadksg6dVOCUqQyus7Yc6NN9AobzfzR1L8xaQJWLtXH9_ztGHDUuoyzs65ictHZvPGxMK4lE6TWWgA, https://pr6.zoon.ru/J35mUe20DTTfTw72hKmerQ/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_G8X5eyFEu7Sa4Pg9uoyMuAg_kcThqmwhcBN2RvUyLZZJIO0GV5fYaiovoG4KB7IOU2mXYCnDmLhV_DV9JcGzP1-44YUlQw2LxblUWdQz3XCA, https://pr5.zoon.ru/aStrKmdx1jnNU9kFgMP5YA/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_Hx6VuIYaZ3eaxI98HbpICX6q75RDegbf9gqHMRE432-ZBaJ2DfLwd47kZMnk_RVKXzS19MejULSOMuFRRauQjztdYoC7U98VK1cQY9DQyziw, https://pr5.zoon.ru/_RuLcCrGj_u1lBSHf3ERuw/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_F9HTlGHTHvAXzz0-T21pUSEQ0FnG_D3LqM-5501nY5xrrS5C0rcS9zeIocWavr2NfY9f919EZepAnBlGa5zc4FqcmKx0XSJ-HgW9LwI1FjTA, https://pr6.zoon.ru/LwrqodVeO544sn-uvSERZw/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_F-FYHPiHLamrD_bDpr5x3pQxQ0gWtnDi4MbJFTVuAWvqkaRpN0ySVFgSjTgtUFetiY_aWLpyde-yOI7dxmQJGgf_GaRshxiR98KEyIhixfNA"
msk,Шоколадница,4f85bd513c72dd81140012b4,2.9,3,1/4,кофейня,"Дмитровское шоссе, 89, в ТЦ ""XL"", 1 этаж, Москва",Селигерская,Открыто до 22:00,+7 (985) 310-40-32,55.863789,37.544854,51,https://zoon.ru/msk/restaurants/kofejnya_shokoladnitsa_na_dmitrovskom_shosse_89/,"https://pr6.zoon.ru/A6ccfQsUdIMHfYVzJh8VdQ/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_H8FG_TpIyQn8iwGVyEytB2N5JeqfA7sFem-cmMWJlKRngmh3uQjRVjFlLYBP8h0W1-xRMUuFQNubre0jriK5ybELth1bL0eJLpdBBVEfVPSw, https://pr5.zoon.ru/lNM3IzzQ4TWGNOrYgfBN3A/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_HReTj733tmM4J0Ty2gNmosRGVlk0TRbBbWrxJwKwo70yU4LjZkd-sESMsyHpNwe6UOp5B_0f_gOI2rkRc5xcPfkVUwNnw3CV1QwIut1KUOgg, https://pr5.zoon.ru/BSKY8G6zwiPs9hKM53sC-w/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_E6wNK50pRovpyjE82Begx5-Yd19636o_6rpKG9RgfM6bQ0Jz2uqrrgLH-53_5HDxlNq3lZVvGh_JmpYBR1thf6Xvo_x_Y8P_9sDZ8d08YN4w, https://pr5.zoon.ru/3Le9M44J7P9zlAowG2k9Zg/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_E_9CbmZ5NnLYzaRf3CEPRnLVFyTxaj4uehUjU_Za5htyBuflWrf4-Gqj-A-hNsMsNbz2N3MqEh7yP0ybl35R-uexwROxhiQdeELR5L4kd5_g, https://pr5.zoon.ru/ItVfwfFFWo8Xhk3tPAh9Hg/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_H78EduNSgdoyXAt5JCZL_JbSoJdlFWfzqbKsEGMXOjsoCXsvlD8ysSGgoj4FDOyqdilSCY2628zCe4FnnXkX6JLz5Z7hVdAJuys1E923JvAQ"
msk,Macaronika,5c02c7eca24fd937ef48e6c0,4.0,1,,"кондитерская, кофейня, пекарня","Пресненская набережная, 2, 1 этаж, Москва",Деловой центр,Открыто до 22:00,+7 (800) 201-96-26,55.748461,37.537917,10,https://zoon.ru/msk/shops/konditerskaya_macaronika_v_tts_afimoll_siti-b983/,"https://p2.zoon.ru/preview/azXpFjPWhFZhENUP09tnkA/252x168x85/1/0/b/5c02c7eca24fd937ef48e6c1_62c6eb0ae34fe8.71767315.jpg, https://p2.zoon.ru/preview/Mw0HmO0uESGijhrsSCKenw/252x168x85/1/f/c/5c02c7eca24fd937ef48e6c1_62c6eb484cf644.06524969.jpg, https://p0.zoon.ru/preview/UGfGpPkUe1HPeq7jLaBMQA/252x168x85/1/f/2/5c02c7eca24fd937ef48e6c1_62c6eb28cd8846.45765296.jpg, https://p2.zoon.ru/preview/KwY3KTATzIbcMd0VtEWaVQ/252x168x85/1/6/7/5c02c7eca24fd937ef48e6c1_62c6eb2c15a6d2.18432292.jpg, https://p0.zoon.ru/preview/E2ZJwVzf9-Iva5l1ZhJO5w/252x168x85/1/5/8/5c02c7eca24fd937ef48e6c1_62c6eb0a8a5ca8.26680109.jpg"
msk,Coffee,4f85bd4b3c72dd8114000284,3.7,5,1/4,кофейня,"улица Большая Полянка, 30, Москва",Полянка,Открыто до 21:00,+7 (968) 590-18-52,55.73404,37.618947,50,https://zoon.ru/msk/restaurants/kofejnya_coffee_na_metro_polyanka/,"https://pr5.zoon.ru/xSoM0JJWz8MZu-_ynviRAQ/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_H3oIoUVjicGr5NJOFB22sjyLLeMJc__OnB-TlRhxvdIDl_GJW-NbhJKvxnElXFy5uLLTG7pDN72Ld53svbGDdqbwLkNbyOp6kHnqOr40jlZw, https://pr5.zoon.ru/OFFc7Hvniw9HTkCpDnJKhQ/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_H3oIoUVjicGr5NJOFB22sjb959jtQNtL8BvptMeaOFjKWDMXcUToTbpGzFhAFNndoAWfn9fY3R-UVHE3h2X96-ZGSObPMwhpSEimIMY88hOA, https://pr6.zoon.ru/XsOOSCuauMAGSzIfI1EaUQ/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_H3oIoUVjicGr5NJOFB22sjDHORggSFMosMukQPxV3SJZRr2oGKcBO5l_sDnPGFFjL37rOf7_g636zJSJOgCS30z3gpM3yy7FeoJLW2jaEMBQ, https://pr5.zoon.ru/Idz4SClQgdAFsRC2HqywBg/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_EN5DyW7ZP1Ju-pvROwvZr0Ocn026Y60utvZ2lRYx3-4O_7pBV4wuxErIn3Fg8r_SQa2iNgFjL-8hUR76BzS7iiy_EE0Ywx-GWCvWWZAyUOdw, https://pr6.zoon.ru/PPjE8VTt8k9_R_anvFeOKw/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_FxMIM6mt0vV6LbDTSEzmvQm2BfVAFLsywD3SloHf8_TZ2MyQdeQ5_zRva5h16el3LitD6zos8OKtKZia5ZVgSEjTLj9Cos6odVx0S-R9Xt5Q"
msk,Кофейное древо,5431f6a840c08899168b4597,4.3,4,1/4,кофейня,"улица Фадеева, 10, Москва",Новослободская,Открыто до 23:00,,55.775798,37.59692,15,https://zoon.ru/msk/restaurants/kofejnya_kofejnoe_drevo_na_ulitse_fadeeva/,"https://p0.zoon.ru/preview/KqHBkaokQuTSy_ClrvTjZw/252x168x85/0/6/d/5431f6b140c08899168b4598_5431f81214cef.jpg, https://p2.zoon.ru/preview/X5DxVEXczi-8Rgmp4Vo3yg/252x168x85/0/8/b/5431f6b140c08899168b4598_5431f81143e5f.jpg, https://p2.zoon.ru/preview/RCVuYrTb_5qf60SY6kXNmA/252x168x85/0/8/d/5431f6b140c08899168b4598_5431f80dc7cd0.jpg, https://pr6.zoon.ru/BujVgjiZwY2ytuapmNgYLg/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_EUQF_OGeKZsrzMbBRl4wJUrbsxMt-tZjmnhLhumfl3rxgr0IsertAw7kvWi8l2aPbbqrK_A9wX-FkbLplEfI9FMMujiWU4mVEgtwIr2Ua27w, https://p1.zoon.ru/preview/_IXDjTT-1sIM1hI5JdOpqw/252x168x85/0/d/3/5431f6b140c08899168b4598_5431f8106426a.jpg"
msk,WOW!Кофе,5ac5b8fd7bbbe13af9052e13,4.1,1,1/4,кофейня,"площадь Тверская Застава, 7с2, Белорусский вокзал, зал пригородных касс, Москва",Белорусская,Открыто до 22:00,+7 (925) 203-30-65,55.775965,37.580777,33,https://zoon.ru/msk/restaurants/kofejnya_wowkofe_na_ploschadi_tverskoj_zastavy_7_str_2/,"https://p0.zoon.ru/preview/7n0uQbxoY3ZkLG5Hl--ofQ/252x168x85/1/3/3/5ac5b8fd7bbbe13af9052e15_5d3ada66d0631.jpg, https://p2.zoon.ru/preview/cV_k-Yt-TDbiTY1dsH6CkA/252x168x85/1/c/1/5ac5b8fd7bbbe13af9052e15_5d3e680055f80.jpg, https://p0.zoon.ru/preview/rACeAET6qtZwi15fHqpAeA/252x168x85/1/4/b/5ac5b8fd7bbbe13af9052e15_5d3ada718c55c.jpg, https://p1.zoon.ru/preview/5z1Ba_Nt88VlxVQ7J9mbkA/252x168x85/1/e/a/5ac5b8fd7bbbe13af9052e15_5d3ada5e4129d.jpg"
msk,Coffee GO,5c173fc9b0d948444560657c,4.5,4,,кофейня,"улица Германа Титова, 10, Химки",,,,55.917258718999,37.412234260604,12,https://zoon.ru/msk/restaurants/ekspress-kofejnya_coffee_go/,"https://p0.zoon.ru/preview/EufNt07PiHYDRrnnYJGDtQ/252x168x85/1/9/0/5c173fc9b0d948444560657f_5c4aec5134023.jpg, https://p1.zoon.ru/preview/Jkoh01M-NbPztBE0wufI-g/252x168x85/1/9/c/5c173fc9b0d948444560657f_5c4aec5454467.jpg, https://p2.zoon.ru/preview/9Fj4kxctqeN_ZM5MYxs4ow/252x168x85/1/e/e/5c173fc9b0d948444560657f_5c4aece9a4a9f.jpg, https://p2.zoon.ru/preview/14xYxIds19HLWWoYuKTivQ/252x168x85/1/d/0/5c173fc9b0d948444560657f_5c4aec53c0794.jpg, https://p0.zoon.ru/preview/w6CZCJrJQx1eQvkFcCg_PQ/252x168x85/1/6/2/5c173fc9b0d948444560657f_5c4aec458665a.jpg"
msk,CofeFest,5c003ce3a24fd9575b371753,5.0,1,1/4,"кондитерская, кофейня","Варшавское шоссе, 42, 1 этаж, Москва",Нагатинская,Открыто до 19:00,+7 (495) 212-10-59,55.676075,37.625271,12,https://zoon.ru/msk/restaurants/ekspress-kofejnya_cofefest_na_varshavskom_shosse_42/,"https://p1.zoon.ru/preview/NmYCoSROMSmWS0vtew0LKg/252x168x85/1/5/5/5c003ce3a24fd9575b371754_5e970846cbc13.jpg, https://p2.zoon.ru/preview/PgthGlZCwOYU5c3SSUd3Dg/252x168x85/1/a/2/5c003ce3a24fd9575b371754_5e970845f1654.jpg, https://p0.zoon.ru/preview/8KXeTSJYkD3JKzFN5wwagA/252x168x85/1/7/e/5c003ce3a24fd9575b371754_5e970841d63b2.jpg, https://p0.zoon.ru/preview/0Vg_kz3phXDgiBZga6h2iQ/252x168x85/1/4/1/5c003ce3a24fd9575b371754_5e97084dd6d3c.jpg, https://p0.zoon.ru/preview/HjptD9ghjiYPQ2aZOfp0AQ/252x168x85/1/6/7/5c003ce3a24fd9575b371754_5e97084e1b4b7.jpg"
msk,Ракета,5b5054ef8847c3255f21ee89,3.4,7,1/4,"кофейня, фастфуд","Павелецкая площадь, 1А, Павелецкий вокзал, Москва",Павелецкая,Открыто до 22:00,+7 (499) 136-91-97,55.729852,37.639749,22,https://zoon.ru/msk/restaurants/burgernaya_raketa_na_paveletskom_vokzale/,"https://p0.zoon.ru/preview/JDSg8njiixQSVNpywRALAQ/252x168x85/1/3/2/5b5054ef8847c3255f21ee8b_5dd99c99a5527.jpg, https://p1.zoon.ru/preview/3zrCktrrMpbk27n6imRRVA/252x168x85/1/f/9/5b5054ef8847c3255f21ee8b_5dd99c99a65a5.jpg, https://p2.zoon.ru/preview/sA1kBprezUNuMhbjYn6Jdw/252x168x85/1/5/e/5b5054ef8847c3255f21ee8b_5dd99c974b0d5.jpg, https://pr5.zoon.ru/-TDzhnveGcR2OcZQ_3-57A/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_GfItPVuojk0xFzELeEw78812GOYRs2_N2OYNQTVQz7jipsI1yFToglGALvDNo_BH9VjkBJXiPaCI-3ZhnFcx69muzZ8MtDU5OIEMxdHlILug, https://p2.zoon.ru/preview/Entu3fuJKkkgP-iR3YKSbw/252x168x85/1/c/b/5b5054ef8847c3255f21ee8b_5dd99c420a0bd.jpg"
msk,Star hit cafe,52c0061a40c0886b7c8bb487,3.7,3,1/4,кофейня,"улица Шаболовка, 31г, 1 этаж, Москва",Шаболовская,Открыто до 22:00,+7 (495) 646-73-15,55.721233,37.610389,54,https://zoon.ru/msk/restaurants/kofejnya_star_hit_cafe_na_ulitse_shabolovka/,"https://pr5.zoon.ru/1GeDooHRv1_4K9ADMQY-Dw/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_GDX-VjTsvFh2aj6IyctHE33Kjx7ds4KUfxDKm34IQQ3G2XWDrvESK1HoJAiS8BhJVbLwhrsz5i_NPo9ZIaMp7fZXjqzhaLjGGCzT0RCxJq3w, https://pr6.zoon.ru/c5ZcC95C9c9_yfHphJvh9w/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_HHUwaAbtAV65zIJXf2IkEUdVAausHK6vbHhqR4U3F3idhrXgPPT7bnneIJ6nGkUJK9OKcdQaj3ZnFJyhlKVzqppyBfCGMm4u59Abwdj3RO2A, https://pr5.zoon.ru/Jq0B4c9mYfeBFnG-Dw_XdQ/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_GDX-VjTsvFh2aj6IyctHE3hxcK3tKdnoecklVh0xrSmI0xbcRY2PmJcoWCutAClvkFSnl4VmJSp7iedYDNlmil4rNWaBBpJecVGObB14nwtA, https://pr5.zoon.ru/twhSl6mtWT_DA_0MYE7GLQ/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_GAdXpy-IfDvH7oxw1aMIPDARoVcDLbq8h4qP9eoFeY6KI5yDOslJoVSBH5p0aAKPMONP-qghbqyaEp824Ij06U3nZ8PbWHlXHbJ_FHSjXZIA, https://pr5.zoon.ru/wPdGv5_6XVRMOMUfZa1_Vg/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_EClSyf0wdjy3enztHV7Y_gYu033T_kgaJJRQUqmXKNiuxdkB3MDMh-EN8fsvyvsNzNfyOOtzJPuLO4nN-JPW4JnOAt5DOelccTQq9rYOKK6g"
msk,Sue coffee,5dabea8310de9a1e0527ffc4,4.1,14,1/4,кофейня,"Валовая улица, 2-4/44 ст1, 1 этаж, Москва",Павелецкая,Открыто до 21:00,+7 (985) 332-23-62,55.731161,37.634711,11,https://zoon.ru/msk/restaurants/kofejnya_sue_coffee/,"https://p1.zoon.ru/preview/imOy9M1rc8FBgIceAeJ70g/252x168x85/1/9/2/5dabea8310de9a1e0527ffc5_5e11b2ceee6e6.jpg, https://p1.zoon.ru/preview/_VQBzv2_xBefwZxeVV3plA/252x168x85/1/5/8/5dabea8310de9a1e0527ffc5_5e11b2cb092fb.jpg, https://p1.zoon.ru/preview/0AqoB0vMLAKzhr65v7FMZw/252x168x85/1/4/6/5dabea8310de9a1e0527ffc5_5e11b2d03e312.jpg, https://p2.zoon.ru/preview/vdJruTqcI05Odn8No2iemg/252x168x85/1/9/6/5dabea8310de9a1e0527ffc5_5e11b2cde9c83.jpg, https://p0.zoon.ru/preview/PtXBqFuuQJRIKaGxZ93C4g/252x168x85/1/6/7/5dabea8310de9a1e0527ffc5_5e11b2d01b41d.jpg"
msk,Mercedes-Benz Cafe,5d38c1aeea08b6189e18ca6c,3.8,1,,"кафе, кофейня","Шереметьевское шоссе, вл37, этаж 3, Химки",,Круглосуточно,+7 (916) 215-99-97,55.981734,37.416022,131,https://zoon.ru/msk/restaurants/kofejnya_mercedes-benz_cafe/,"https://pr6.zoon.ru/_ca0BMiEdf8beKozxKBMeQ/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_Gh8WakIfeX2dzVMWUY0b1uBthXPk0bm_K_DzIWXzjooTLY-LWKOHAdvqbRwv8n6YLeSr8RBmIUksuT6ZFqmcbcOvMQ838vAn7qdMA8SKX6Cw, https://pr6.zoon.ru/oci3nxmj-b_7j_Da6J8U0A/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_Hl2ypIqZsfrZrY7gV5X0UvfGdF8CTDZ5ohm4ZaOawr5bdToijOvG5wRIb16waBx7Dg35vIgcyJy3R-qz4mUlR1IJ1m7lxsSZu7m9Pt-JG7bw, https://pr6.zoon.ru/BnhRgppFoHNa3CfrO81mEw/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_Gh8WakIfeX2dzVMWUY0b1uaVVWnJaDk5PKdyQep6ZnBnO-c2T4ZsAHeJ_QfeEAZbkTt0Er0jhQoW3JT7_FCgk1RUBB-wAZmUZqokpyG7MPTQ, https://pr6.zoon.ru/UaFlYn6qFJsF6dHfddznWQ/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_Hl2ypIqZsfrZrY7gV5X0Uv3SsvgnCiydbXrNfjuzsMOrI1EWDKGuGwLVWQS8-176T8mMFZt2TxGuzNuSJqdrskGw_Nt6SBt8VqSPUNIk84DQ, https://pr6.zoon.ru/Jw8MWJuWcLhQawMS4D-8Xg/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_FVqyIQjQkbnaND0bKEDIcx7jO58d6J4L3nAMsYp-TRUwPQiabxTmQ9hAwv78wrbgiayUDsYleYE581fdn3LJMkuSxFZzTYc4jrV-tGPQ51cg"
msk,Cinnabon,52c0062640c0886b7c8bb5b3,4.0,28,1/4,"кондитерская, кофейня, пекарня, фастфуд","Камергерский пер, 5, 1 этаж, Москва",Охотный ряд,Открыто до 23:00,+7 (495) 580-63-23,55.76045859291,37.61448944641,55,https://zoon.ru/msk/restaurants/kafe-pekarnya_cinnabon_na_metro_trubnaya/,"https://pr6.zoon.ru/GvFryjHQwGGV0JDqy2S4-w/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_EKhH2bh9-Rl1Q5vXaNefg7QtMY3RFUGzgIHopTALaEyhY9DqUHhUneWa6YEkrB3qsmFllvhYYZ_dB9FiWIL1rABMErvTK5NFqvy1d0_yFu6A, https://pr6.zoon.ru/qnv3bLnglIjmCPVjLyCv1A/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_EvjDXjDvcesvd6TrjBd268kSHt70PRVSSkCfg0M3hMPk-gZ1KYi3Hf-s4I4N1uTl_3Hxkuc9qP2PXqQnswCdEM71q5Ufnc4IkbrjFawukc3A, https://pr5.zoon.ru/4sCaNiux-_KvJt0bI6CXZA/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_HR4pl7evYp649vj8-c-iwUskZj6bLZcJKc49xuwoyDivfbL_5LfBDxo4IzTXPQjJsUywxjfiW2idIX42riU4cTxeVNHBjY3imoTwpHkrHX4A, https://pr5.zoon.ru/vw10xbmQILzxu6AwTn_kEg/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_GVxgvpi-IYPyAWw6-8j87bFiQ_392HbzdNppISMBxKUrOb6Bm8XO7D3tNV-pc9c1ZOhYL4f9gyp3HLFTN-rd5xkwNvQL0MiXwNmM0fb5g7SA, https://pr5.zoon.ru/ofxsxpctdQMkqFEnZkROXw/252x168%2Cq85/J6muMKgxpCyaYePLj1VQ5pnOfm0DiXg7JOVHpTQel_EK-fZZtB272Ng0syxSgKXNdh2ySpARkVnDbsis6o75Y2WdQT9vIkUIrVEXvujy5ZWhiBL0sn4TGP1niIl_UTJcBx3cP7-Vk3Yh7dFqV19p0Q"
msk,ALEXANDER BAR,54754eb13997f2090e8b456c,4.6,10,1/4,"бар, кофейня","Смольная улица, 24А, Москва",Беломорская,,+7 (499) 450-84-11,55.860509,37.483229,43,https://zoon.ru/msk/restaurants/alexander_bar/,"https://p0.zoon.ru/preview/jaWDL3MpOv-E5-sDdjBErA/252x168x85/1/2/2/54754eb13997f2090e8b456d_5fbfb3522f1a8.jpg, https://p0.zoon.ru/preview/SpJMr9Gk2nt_aVAywk-zSA/252x168x85/1/5/0/54754eb13997f2090e8b456d_5fbfb35fb120d.jpg, https://p2.zoon.ru/preview/tTec2ERrsmt1kfGqSIbJqw/252x168x85/1/c/f/54754eb13997f2090e8b456d_5fbfb3557fac6.jpg, https://p1.zoon.ru/preview/JYweWMLXTdeAjXn5SUn90g/252x168x85/1/a/3/54754eb13997f2090e8b456d_5fbfb35863b60.jpg, https://p0.zoon.ru/preview/qjtL4umg2ckeHY0EkIo8Cg/252x168x85/1/e/3/54754eb13997f2090e8b456d_5fbfb35900a68.jpg"
